epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1203.62,0.29468,0.58614,0.92553,0.8671,0.90866,0.91483,0.91093,0.20515,0.54312,0.62814,0.00060603,0.00060603,0.00060603
103,1215.66,0.30661,0.58903,0.93354,0.94898,0.88777,0.96755,0.96514,0.19353,0.35636,0.62698,0.000603031,0.000603031,0.000603031
104,1227.68,0.29963,0.57091,0.93438,0.91335,0.87481,0.94546,0.9385,0.2243,0.4963,0.65774,0.000600031,0.000600031,0.000600031
105,1239.52,0.30159,0.5694,0.9265,0.93839,0.89091,0.95713,0.95508,0.2062,0.44617,0.63964,0.000597031,0.000597031,0.000597031
106,1251.47,0.30498,0.56644,0.93718,0.77294,0.88089,0.89445,0.88748,0.22934,0.65467,0.65787,0.000594031,0.000594031,0.000594031
107,1263.37,0.29621,0.58661,0.92736,0.87893,0.93336,0.94439,0.93759,0.21221,0.45914,0.64276,0.000591032,0.000591032,0.000591032
108,1275.34,0.28685,0.56672,0.92664,0.86642,0.85691,0.89949,0.89527,0.20824,0.69009,0.63704,0.000588032,0.000588032,0.000588032
109,1287.75,0.30067,0.57377,0.94362,0.96052,0.87924,0.96074,0.95128,0.20773,0.34182,0.64237,0.000585032,0.000585032,0.000585032
110,1299.91,0.29685,0.56416,0.93112,0.88579,0.92483,0.95379,0.94568,0.22351,0.40033,0.64504,0.000582033,0.000582033,0.000582033
111,1312.28,0.29614,0.56104,0.92958,0.83804,0.91977,0.93069,0.92163,0.21986,0.49803,0.64654,0.000579033,0.000579033,0.000579033
112,1324.18,0.30587,0.55853,0.92934,0.80981,0.92197,0.92631,0.91483,0.2163,0.53116,0.6419,0.000576033,0.000576033,0.000576033
113,1336.08,0.29173,0.5357,0.92932,0.93176,0.90678,0.95137,0.94378,0.20702,0.45305,0.63572,0.000573034,0.000573034,0.000573034
114,1347.91,0.30256,0.55349,0.93501,0.89329,0.87921,0.95294,0.95201,0.22256,0.54428,0.64907,0.000570034,0.000570034,0.000570034
115,1359.95,0.28231,0.5584,0.92514,0.92729,0.95949,0.96463,0.95814,0.2396,0.40869,0.67011,0.000567034,0.000567034,0.000567034
116,1371.86,0.29717,0.52764,0.92878,0.9212,0.90661,0.96283,0.95862,0.21364,0.40441,0.63742,0.000564034,0.000564034,0.000564034
117,1383.98,0.29003,0.56426,0.93185,0.87093,0.88527,0.97009,0.96264,0.21265,0.40106,0.6397,0.000561035,0.000561035,0.000561035
118,1396,0.29337,0.54943,0.93533,0.88362,0.93333,0.97666,0.96542,0.20362,0.37605,0.63354,0.000558035,0.000558035,0.000558035
119,1407.98,0.31112,0.53649,0.93467,0.94029,0.87427,0.95049,0.94486,0.21162,0.45477,0.64123,0.000555035,0.000555035,0.000555035
120,1420.15,0.29023,0.56617,0.92443,0.89576,0.87129,0.94359,0.93367,0.20459,0.46196,0.62576,0.000552036,0.000552036,0.000552036
121,1432.39,0.288,0.53521,0.92914,0.92034,0.83743,0.91805,0.91506,0.22363,0.55692,0.65328,0.000549036,0.000549036,0.000549036
122,1444.35,0.28724,0.5377,0.92109,0.85601,0.86669,0.9361,0.93278,0.19689,0.46642,0.62417,0.000546036,0.000546036,0.000546036
123,1456,0.28748,0.53524,0.9287,0.94242,0.85162,0.94248,0.94153,0.19658,0.44545,0.6277,0.000543037,0.000543037,0.000543037
124,1467.9,0.29934,0.54278,0.93875,0.89741,0.82502,0.89805,0.88922,0.19977,0.55869,0.63292,0.000540037,0.000540037,0.000540037
125,1479.5,0.27869,0.49928,0.92112,0.89038,0.88919,0.93595,0.93312,0.18277,0.44537,0.60538,0.000537037,0.000537037,0.000537037
126,1491.43,0.29497,0.53444,0.92465,0.8891,0.87315,0.92742,0.92598,0.20137,0.55044,0.62724,0.000534037,0.000534037,0.000534037
127,1503.33,0.28663,0.52652,0.92223,0.91611,0.86587,0.92834,0.92338,0.20184,0.59005,0.62763,0.000531038,0.000531038,0.000531038
128,1515.23,0.28173,0.49261,0.93068,0.93163,0.88442,0.95468,0.94993,0.18579,0.41307,0.61366,0.000528038,0.000528038,0.000528038
